image,ALB,BET,DOL,LAG,NoF,OTHER,SHARK,YFT
img_00005.jpg,0.7278065743208189,0.0820386443614255,0.1589214136948306,0.12724664420613552,0.6655314349435071,0.6930092869194756,0.5041259546084218,0.9415023236926846
img_00007.jpg,0.7025895283437518,0.7893168658934804,0.16803193533182414,0.6751979415683044,0.4211962603798126,0.5321910068197542,0.07723372669226214,0.329197668860876
img_00009.jpg,0.028241473887865243,0.9148166945176267,0.6481683774647615,0.1181237147455958,0.6484145217583767,0.31801981283431535,0.5871465614361236,0.1613093999814844
img_00018.jpg,0.3865018871127295,0.5866412706848643,0.5245244715834141,0.21283302453670694,0.5300562062706824,0.21789913420959617,0.9681587809720097,0.8378887216914122
img_00027.jpg,0.5956456462552028,0.9175871579974424,0.6599658875596023,0.9707352014559056,0.9608840826421887,0.49213354535473075,0.9942119108998201,0.02791778353123775
img_00030.jpg,0.08759803177674408,0.6449525683849701,0.7032756765657185,0.665275908323044,0.8497235788613754,0.13093385466346175,0.36986924171803937,0.5899169209285213
img_00040.jpg,0.12303124762598072,0.5925722252332243,0.9277007675513537,0.015060285513945115,0.9443571983808506,0.03629040904830727,0.39100039817349863,0.6912427645801856
img_00046.jpg,0.13086822035207712,0.6650258476874578,0.8996017640630333,0.4437047175717914,0.18264304668534048,0.5916986961456097,0.24410361764023336,0.5205508812077764
img_00053.jpg,0.885608955033818,0.786890583448029,0.5137096380182126,0.6552439619034761,0.4989751171030211,0.6246278327742368,0.7095448713629271,0.9901696281029798
img_00071.jpg,0.161944443752279,0.7658804110192174,0.2373087129298329,0.08202050267645156,0.3793216424732866,0.6839993596218942,0.7984695259201169,0.37946401212525827
img_00075.jpg,0.7316052354792791,0.39161884016112025,0.45159987077420904,0.7922366135635975,0.5479266150946002,0.6272154660598458,0.9103819197726106,0.11420978716782204
img_00102.jpg,0.2640208142139573,0.18762933770617796,0.4831956661674597,0.26977377693922555,0.5416524205358357,0.23706885665269906,0.2570292487439917,0.9440253027020329
